proteina,grasas_totales,grasas_trans,hidratos_disp,azucares,azucares_añadidos,fibra,sodio,categoria
8.86,11.28,0.0,19.53,17.76,2.25,5.17,164.69,4
16.82,8.11,0.1,4.89,13.38,0.4,5.29,292.25,4
9.96,12.07,0.1,11.54,11.2,4.75,5.34,231.62,4
8.42,7.28,0.0,14.4,16.88,1.14,7.96,117.55,4
9.36,3.16,0.0,11.36,12.42,0.8,7.85,271.07,4
19.38,3.82,0.0,14.77,12.22,4.6,4.6,131.61,4
8.28,10.62,0.1,11.58,12.65,2.6,6.5,25.45,4
15.47,12.55,0.1,25.15,8.8,2.06,4.17,187.98,4
18.09,12.98,0.1,8.03,19.21,4.66,4.22,130.26,4
14.08,3.09,0.1,21.64,2.71,3.94,4.87,269.48,4
15.07,13.68,0.1,15.07,7.36,4.28,3.69,4.83,4
5.91,6.33,0.1,12.81,0.15,1.97,3.76,215.06,4
14.2,8.92,0.1,10.84,17.48,0.49,5.74,173.02,4
7.84,8.48,0.1,12.0,15.72,1.95,6.3,177.94,4
